"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"flexmix","flexmix","C:/Users/Ilya/Documents/R/win-library/4.0","2.3-15",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils","no","4.0.0","CRAN"
"flexsurv","flexsurv","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,"survival, R (>= 2.15.0)","mstate (>= 0.2.10), muhaz, mvtnorm, deSolve, quadprog, Rcpp
(>= 0.11.5), tidyr, tibble","yes","4.0.0","CRAN"
"flextable","flextable","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.10",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.10),
rmarkdown, knitr, htmltools, xml2, data.table, uuid, gdtools
(>= 0.1.6), rlang, base64enc","no","4.0.0","CRAN"
"float","float","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-4",NA,"R (>= 3.6.0), methods","utils, tools","yes","4.0.0","CRAN"
"flock","flock","C:/Users/Ilya/Documents/R/win-library/4.0","0.7",NA,NA,"Rcpp (>= 0.11.3), methods","yes","4.0.0","CRAN"
"FMStable","FMStable","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-2",NA,NA,NA,NA,"4.0.0","CRAN"
"FNN","FNN","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.3",NA,"R (>= 3.0.0)",NA,"yes","4.0.0","CRAN"
"forcats","forcats","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble","no","4.0.0","CRAN"
"foreach","foreach","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 2.5.0)","codetools, utils, iterators","no","4.0.0","CRAN"
"forecast","forecast","C:/Users/Ilya/Documents/R/win-library/4.0","8.12",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","yes","4.0.0","CRAN"
"forecTheta","forecTheta","C:/Users/Ilya/Documents/R/win-library/4.0","2.2",NA,"R (>= 2.0), parallel, forecast, tseries",NA,"no","4.0.0","CRAN"
"forge","forge","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 3.1.2)","rlang (>= 0.3.1), magrittr","no","4.0.0","CRAN"
"formatR","formatR","C:/Users/Ilya/Documents/R/win-library/4.0","1.7",NA,"R (>= 3.0.2)",NA,"no","4.0.0","CRAN"
"formattable","formattable","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown","no","4.0.0","CRAN"
"Formula","Formula","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-3",NA,"R (>= 2.0.0), stats",NA,"no","4.0.0","CRAN"
"fortunes","fortunes","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-4",NA,NA,"utils","no","4.0.0","CRAN"
"forward","forward","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.5",NA,"R (>= 3.5), MASS",NA,"no","4.0.0","CRAN"
"fpc","fpc","C:/Users/Ilya/Documents/R/win-library/4.0","2.2-7",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel","no","4.0.2","CRAN"
"fpeek","fpeek","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.1",NA,NA,"Rcpp (>= 0.12.12)","yes","4.0.0","CRAN"
"fracdiff","fracdiff","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-1",NA,NA,"stats","yes","4.0.0","CRAN"
"freqparcoord","freqparcoord","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"parallel, ggplot2, GGally, FNN, mvtnorm","","no","4.0.0","CRAN"
"fs","fs","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.2",NA,"R (>= 3.1)","methods","yes","4.0.2","CRAN"
"fst","fst","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.2",NA,"R (>= 3.0.0)","Rcpp","yes","4.0.0","CRAN"
"functional","functional","C:/Users/Ilya/Documents/R/win-library/4.0","0.6",NA,NA,NA,"no","4.0.0","CRAN"
"furrr","furrr","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.2.0), future (>= 1.6.2)","globals (>= 0.10.3), rlang (>= 0.2.0), purrr (>= 0.2.4)","no","4.0.0","CRAN"
"futile.logger","futile.logger","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options","no","4.0.0","CRAN"
"futile.options","futile.options","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 2.8.0)",NA,"no","4.0.0","CRAN"
"future","future","C:/Users/Ilya/Documents/R/win-library/4.0","1.18.0",NA,NA,"digest, globals (>= 0.12.5), listenv (>= 0.8.0), parallel,
utils","no","4.0.2","CRAN"
"future.apply","future.apply","C:/Users/Ilya/Documents/R/win-library/4.0","1.6.0",NA,"R (>= 3.2.0), future (>= 1.17.0)","globals (>= 0.12.5), parallel, utils","no","4.0.2","CRAN"
"future.callr","future.callr","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.2.0), future (>= 1.14.0)","callr","no","4.0.0","CRAN"
"fuzzyjoin","fuzzyjoin","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.6",NA,"R (>= 2.10)","stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble","no","4.0.0","CRAN"
"gamboostLSS","gamboostLSS","C:/Users/Ilya/Documents/R/win-library/4.0","2.0-1.1",NA,"R (>= 2.10.0), mboost (>= 2.8-0), stabs (>= 0.5-0), parallel","graphics, grDevices, stats, utils","no","4.0.0","CRAN"
"gamlss","gamlss","C:/Users/Ilya/Documents/R/win-library/4.0","5.1-6",NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods","yes","4.0.0","CRAN"
"gamlss.data","gamlss.data","C:/Users/Ilya/Documents/R/win-library/4.0","5.1-4",NA,"R (>= 2.10)",NA,"no","4.0.0","CRAN"
"gamlss.dist","gamlss.dist","C:/Users/Ilya/Documents/R/win-library/4.0","5.1-6",NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,"yes","4.0.0","CRAN"
"gapminder","gapminder","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.1.0)","tibble","no","4.0.0","CRAN"
"gargle","gargle","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.2)","fs (>= 1.3.1), glue (>= 1.3.0), httr (>= 1.4.0), jsonlite,
rlang (>= 0.4.2), stats, withr","no","4.0.0","CRAN"
"gbm","gbm","C:/Users/Ilya/Documents/R/win-library/4.0","2.1.5",NA,"R (>= 2.9.0)","gridExtra, lattice, parallel, survival","yes","4.0.0","CRAN"
"gbRd","gbRd","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-11",NA,"tools",NA,NA,"4.0.0","CRAN"
"gclus","gclus","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.2",NA,"R (>= 2.10), cluster",NA,"no","4.0.0","CRAN"
"gcookbook","gcookbook","C:/Users/Ilya/Documents/R/win-library/4.0","2.0",NA,"R (>= 2.10)",NA,"no","4.0.0","CRAN"
"gdalUtils","gdalUtils","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.3.2",NA,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal","no","4.0.0","CRAN"
"gdata","gdata","C:/Users/Ilya/Documents/R/win-library/4.0","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils","no","4.0.0","CRAN"
"gdtools","gdtools","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","yes","4.0.0","CRAN"
"gee","gee","C:/Users/Ilya/Documents/R/win-library/4.0","4.13-20",NA,"stats",NA,"yes","4.0.0","CRAN"
"geepack","geepack","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-1",NA,"R (>= 3.5.0), methods","MASS, broom, magrittr","yes","4.0.0","CRAN"
"gender","gender","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.4",NA,"R (>= 3.0.0), utils, stats","dplyr (>= 0.8.5), httr (>= 1.4.1), jsonlite (>= 1.6.1)","no","4.0.0","CRAN"
"GeneralizedHyperbolic","GeneralizedHyperbolic","C:/Users/Ilya/Documents/R/win-library/4.0","0.8-4",NA,"R (>= 3.0.1)","DistributionUtils, MASS","no","4.0.0","CRAN"
"generics","generics","C:/Users/Ilya/Documents/R/win-library/4.0","0.0.2",NA,"R (>= 3.1)","methods","no","4.0.0","CRAN"
"genetics","genetics","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.8.1.2",NA,"combinat, gdata, gtools, MASS, mvtnorm",NA,"no","4.0.0","CRAN"
"geojson","geojson","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.4",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval","no","4.0.2","CRAN"
"geojsonio","geojsonio","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.2",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), rgeos, crul, maptools, jsonlite (>=
0.9.21), magrittr, readr (>= 0.2.2), V8, geojson (>= 0.2.0),
jqr","no","4.0.0","CRAN"
"geojsonlint","geojsonlint","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8","no","4.0.0","CRAN"
"geojsonsf","geojsonsf","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 3.5.0)","jsonify (>= 1.1.1), Rcpp","yes","4.0.2","CRAN"
"geometry","geometry","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.5",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","yes","4.0.0","CRAN"
"geosphere","geosphere","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-10",NA,"R (>= 3.0.0)","sp","yes","4.0.0","CRAN"
"getopt","getopt","C:/Users/Ilya/Documents/R/win-library/4.0","1.20.3",NA,NA,"stats","no","4.0.0","CRAN"
"getPass","getPass","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-2",NA,"R (>= 3.0.0)","utils, rstudioapi (>= 0.5)","yes","4.0.0","CRAN"
"GGally","GGally","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 3.1), ggplot2 (>= 3.3.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), scales (>= 1.1.0), utils,
rlang, lifecycle","no","4.0.0","CRAN"
"ggalt","ggalt","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)","no","4.0.0","CRAN"
"gganimate","gganimate","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.6",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils","no","4.0.2","CRAN"
"ggbeeswarm","ggbeeswarm","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor","no","4.0.0","CRAN"
"ggdendro","ggdendro","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-20",NA,NA,"MASS, ggplot2(>= 0.9.2)","no","4.0.0","CRAN"
"ggedit","ggedit","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","dplyr (>= 1.0.0), plyr, tidyr, purrr, rlang, scales,
rstudioapi, shiny, miniUI, shinyBS, colourpicker (>= 0.2),
shinyAce, magrittr, utils, graphics, grid, tools, stats","no","4.0.0","CRAN"
"ggeffects","ggeffects","C:/Users/Ilya/Documents/R/win-library/4.0","0.15.0",NA,"R (>= 3.2)","graphics, insight (>= 0.8.1), MASS, sjlabelled (>= 1.1.2),
stats","no","4.0.0","CRAN"
"ggExtra","ggExtra","C:/Users/Ilya/Documents/R/win-library/4.0","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6","no","4.0.0","CRAN"
"ggfittext","ggfittext","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.0",NA,"R (>= 3.6)","grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)","no","4.0.0","CRAN"
"ggforce","ggforce","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.2",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","yes","4.0.2","CRAN"
"ggformula","ggformula","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.4",NA,"R (>= 3.1), ggplot2 (>= 3.0), ggstance (>= 0.3.1)","mosaicCore, rlang, magrittr, tibble, stringr, ggforce, grid","no","4.0.0","CRAN"
"ggfortify","ggfortify","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.10",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble","no","4.0.0","CRAN"
"ggiraph","ggiraph","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.8",NA,NA,"grid, ggplot2 (>= 3.3.0), htmlwidgets (>= 0.6), stats,
htmltools, Rcpp (>= 0.12.12), gdtools (>= 0.2.1), purrr, rlang,
uuid","yes","4.0.2","CRAN"
"ggmap","ggmap","C:/Users/Ilya/Documents/R/win-library/4.0","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr","no","4.0.0","CRAN"
"ggnetwork","ggnetwork","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.8",NA,"R (>= 3.5), ggplot2 (>= 2.0.0)","ggrepel (>= 0.5), network, igraph, sna, utils","no","4.0.0","CRAN"
"ggplot2","ggplot2","C:/Users/Ilya/Documents/R/win-library/4.0","3.3.2",NA,"R (>= 3.2)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)","no","4.0.2","CRAN"
"ggplot2movies","ggplot2movies","C:/Users/Ilya/Documents/R/win-library/4.0","0.0.1",NA,"R (>= 2.10.0)",NA,"no","4.0.0","CRAN"
"ggpmisc","ggpmisc","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.5",NA,"R (>= 3.6.0), ggplot2 (>= 3.3.0)","grid, rlang (>= 0.4.5), magrittr (>= 1.5), gridExtra (>= 2.3),
scales (>= 1.1.0), MASS (>= 7.3-51.5), polynom (>= 1.4-0),
splus2R (>= 1.2-2), tibble (>= 3.0.1), plyr (>= 1.8.6), dplyr
(>= 0.8.3), xts (>= 0.12-0), zoo (>= 1.8-7), broom (>= 0.5.5),
lubridate (>= 1.7.8), stringr (>= 1.4.0)","no","4.0.0","CRAN"
"ggpubr","ggpubr","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr","no","4.0.2","CRAN"
"ggquickeda","ggquickeda","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.6",NA,"R (>= 3.5.0)","colourpicker, dplyr, DT, Formula, GGally, ggplot2, ggpmisc,
ggrepel (>= 0.7.0), ggstance, ggpubr, grDevices, grid,
gridExtra, Hmisc, lazyeval, markdown, methods, plotly,
quantreg, rlang, scales, shiny (>= 1.0.4), shinyjs (>= 1.1),
shinyjqui, stats, stringr, survival, survminer, tidyr, table1
(>= 1.1), utils","no","4.0.0","CRAN"
"ggraptR","ggraptR","C:/Users/Ilya/Documents/R/win-library/4.0","1.3",NA,"dplyr (>= 0.7.5), ggplot2 (>= 2.2.0), pacman (>= 0.4.6),
purrr(>= 0.2.4), shiny (>= 0.12.2)",NA,"no","4.0.2","CRAN"
"ggrepel","ggrepel","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.2",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","yes","4.0.0","CRAN"
"ggridges","ggridges","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)","no","4.0.0","CRAN"
"ggsci","ggsci","C:/Users/Ilya/Documents/R/win-library/4.0","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)","no","4.0.0","CRAN"
"ggseas","ggseas","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.4",NA,"R (>= 3.1.2), ggplot2 (>= 2.0.0)","seasonal, rlang, stats, zoo","no","4.0.0","CRAN"
"ggsignif","ggsignif","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,NA,"ggplot2 (>= 2.0.0)","no","4.0.0","CRAN"
"ggstance","ggstance","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)","no","4.0.0","CRAN"
"ggthemes","ggthemes","C:/Users/Ilya/Documents/R/win-library/4.0","4.2.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble","no","4.0.0","CRAN"
"gh","gh","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,NA,"cli, ini, jsonlite, httr (>= 1.2)","no","4.0.0","CRAN"
"gifski","gifski","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.6",NA,NA,NA,"yes","4.0.0","CRAN"
"gistr","gistr","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,NA,"jsonlite (>= 1.4), httr (>= 1.2.0), magrittr, assertthat,
knitr, rmarkdown, dplyr","no","4.0.0","CRAN"
"git2r","git2r","C:/Users/Ilya/Documents/R/win-library/4.0","0.27.1",NA,"R (>= 3.1)","graphics, utils","yes","4.0.0","CRAN"
"githubinstall","githubinstall","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,NA,"curl, data.table, devtools, httr, jsonlite, mockery, utils","no","4.0.0","CRAN"
"glmmTMB","glmmTMB","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.2.1",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme","yes","4.0.2","CRAN"
"glmnet","glmnet","C:/Users/Ilya/Documents/R/win-library/4.0","4.0-2",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival","yes","4.0.0","CRAN"
"GlobalOptions","GlobalOptions","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3.0), methods","utils","no","4.0.0","CRAN"
"globals","globals","C:/Users/Ilya/Documents/R/win-library/4.0","0.12.5",NA,"R (>= 3.1.2)","codetools","no","4.0.0","CRAN"
"glue","glue","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.1",NA,"R (>= 3.1)","methods","yes","4.0.0","CRAN"
"gmm","gmm","C:/Users/Ilya/Documents/R/win-library/4.0","1.6-5",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics","yes","4.0.0","CRAN"
"gmodels","gmodels","C:/Users/Ilya/Documents/R/win-library/4.0","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata","no","4.0.0","CRAN"
"gmp","gmp","C:/Users/Ilya/Documents/R/win-library/4.0","0.6-0",NA,"R (>= 3.4.0)","methods","yes","4.0.0","CRAN"
"gnm","gnm","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-1",NA,"R (>= 3.0.0)","graphics, grDevices, MASS, Matrix, methods, nnet, qvcalc (>=
0.8-3), relimp, stats, utils","yes","4.0.0","CRAN"
"googledrive","googledrive","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 3.2)","curl (>= 2.8.1), gargle (>= 0.3.1), glue (>= 1.2.0), httr,
jsonlite, magrittr, purrr (>= 0.2.3), rlang (>= 0.3.1), tibble
(>= 2.0.0), utils, uuid","no","4.0.0","CRAN"
"googlePolylines","googlePolylines","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.13)","yes","4.0.0","CRAN"
"googlesheets","googlesheets","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.2.0)","cellranger (>= 1.0.0), dplyr (>= 0.4.2), httr (>= 1.1.0),
jsonlite, purrr, readr (>= 0.2.2), stats, stringr, tibble,
tidyr, utils, xml2 (>= 1.0.0)","no","4.0.0","CRAN"
"gower","gower","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,NA,NA,"yes","4.0.2","CRAN"
"gpclib","gpclib","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-6",NA,"R (>= 3.0.0), methods","graphics","yes","4.0.0","CRAN"
"gplots","gplots","C:/Users/Ilya/Documents/R/win-library/4.0","3.0.4",NA,"R (>= 3.0)","gtools, gdata, stats, caTools, KernSmooth","no","4.0.2","CRAN"
"greybox","greybox","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,"R (>= 3.0.2)","forecast, stats, graphics, utils, lamW, pracma, nloptr,
statmod, zoo, Matrix","yes","4.0.0","CRAN"
"gridBase","gridBase","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-7",NA,"R (>= 2.3.0)","graphics, grid","no","4.0.0","CRAN"
"gridExtra","gridExtra","C:/Users/Ilya/Documents/R/win-library/4.0","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils","no","4.0.0","CRAN"
"gsl","gsl","C:/Users/Ilya/Documents/R/win-library/4.0","2.1-6",NA,"R (>= 3.1.0)",NA,"yes","4.0.0","CRAN"
"gss","gss","C:/Users/Ilya/Documents/R/win-library/4.0","2.2-2",NA,"R (>= 3.0.0), stats",NA,"yes","4.0.0","CRAN"
"gsubfn","gsubfn","C:/Users/Ilya/Documents/R/win-library/4.0","0.7",NA,"proto",NA,"no","4.0.0","CRAN"
"gt","gt","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.1",NA,"R (>= 3.2.0)","checkmate (>= 2.0.0), commonmark (>= 1.7), dplyr (>= 0.8.5),
fs (>= 1.3.2), ggplot2 (>= 3.3.0), glue (>= 1.3.2), htmltools
(>= 0.4.0), magrittr (>= 1.5), rlang (>= 0.4.5), sass (>=
0.1.1), scales (>= 1.1.0), stringr (>= 1.3.1), tibble (>=
3.0.0), tidyselect (>= 1.0.0)","no","4.0.0","CRAN"
"gtable","gtable","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.0)","grid","no","4.0.0","CRAN"
"gtools","gtools","C:/Users/Ilya/Documents/R/win-library/4.0","3.8.2",NA,"methods, stats, utils",NA,"yes","4.0.0","CRAN"
"haven","haven","C:/Users/Ilya/Documents/R/win-library/4.0","2.3.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, Rcpp (>= 0.11.4), readr (>=
0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","yes","4.0.0","CRAN"
"hdi","hdi","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-7",NA,"scalreg","grDevices, graphics, stats, parallel, MASS, glmnet, linprog","no","4.0.0","CRAN"
"hdrcde","hdrcde","C:/Users/Ilya/Documents/R/win-library/4.0","3.3",NA,"R (>= 2.15)","locfit, ash, ks, KernSmooth, ggplot2, RColorBrewer","yes","4.0.0","CRAN"
"here","here","C:/Users/Ilya/Documents/R/win-library/4.0","0.1",NA,NA,"rprojroot (>= 1.2)","no","4.0.0","CRAN"
"heuristicsmineR","heuristicsmineR","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.4",NA,"R (>= 2.10)","bupaR, processmapR (>= 0.3.1), rlang, magrittr, dplyr, tidyr,
DiagrammeR (>= 1.0.0), petrinetR, purrr, scales, Rcpp, ggplot2,
ggthemes, data.table, stringr","yes","4.0.0","CRAN"
"hexbin","hexbin","C:/Users/Ilya/Documents/R/win-library/4.0","1.28.1",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils","yes","4.0.0","CRAN"
"highcharter","highcharter","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 2.10)","htmlwidgets, magrittr, purrr, rlist, assertthat, zoo, dplyr
(>= 0.7.0), tibble (>= 1.1), stringr, broom, xts, quantmod,
tidyr, htmltools, jsonlite, igraph, lubridate, crosstalk, yaml,
rlang(>= 0.1.1), whisker","no","4.0.0","CRAN"
"highr","highr","C:/Users/Ilya/Documents/R/win-library/4.0","0.8",NA,"R (>= 3.2.3)",NA,"no","4.0.0","CRAN"
"hmeasure","hmeasure","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-2",NA,"R (>= 2.10)",NA,"no","4.0.0","CRAN"
"Hmisc","Hmisc","C:/Users/Ilya/Documents/R/win-library/4.0","4.4-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc","yes","4.0.0","CRAN"
"hms","hms","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.3",NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.1)","no","4.0.0","CRAN"
"hrbrthemes","hrbrthemes","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools","no","4.0.0","CRAN"
"htmltidy","htmltidy","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.2.0)","Rcpp, xml2, XML, htmlwidgets, htmltools","yes","4.0.0","CRAN"
"htmltools","htmltools","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang","yes","4.0.0","CRAN"
"htmlwidgets","htmlwidgets","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.1",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml","no","4.0.0","CRAN"
