DRY
2016-06-02 10:10:05 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2428784 25
2016-06-02 10:10:15 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2408832 27
2016-06-02 10:10:26 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2451888 29
2016-06-02 10:10:35 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 717184 24
2016-06-02 10:10:55 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 711936 28
2016-06-02 10:13:05 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2428784 25
2016-06-02 10:13:15 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2418288 27
2016-06-02 10:13:25 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 2438240 29
2016-06-02 10:13:36 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 729792 24
2016-06-02 10:13:45 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 725584 26
2016-06-02 10:13:55 devices/UnwiredOne/fdaa::1:212:4b00:8fb:7c69/adc_measure 714032 28

NORMAL
